Table,Code,USDA_tax,SSL_classification_name
C_O_SOIL_TAXONOMY,SHUTR,Tropohumod,typic tropohumods
C_O_SOIL_TAXONOMY,SOR,Orthod,
C_O_SOIL_TAXONOMY,SORCR,Cryorthod,typic cryorthods
C_O_SOIL_TAXONOMY,SORFR,Fragiorthod,typic fragiorthods
C_O_SOIL_TAXONOMY,SORHA,Haplorthod,typic haplorthods
C_O_SOIL_TAXONOMY,SORPK,Placorthod,typic placorthods
C_O_SOIL_TAXONOMY,SORTR,Troporthod,typic troporthods
C_O_SOIL_TAXONOMY,U,Ultisol,
C_O_SOIL_TAXONOMY,UAQ,Aquult,
C_O_SOIL_TAXONOMY,UAQAL,Albaquult,typic albaquults
C_O_SOIL_TAXONOMY,UAQFR,Fragiaquult,typic fragiaquults
C_O_SOIL_TAXONOMY,UAQKA,Kandiaquult,typic kandiaquults
C_O_SOIL_TAXONOMY,UAQKH,Kanhaplaquult,typic kanhaplaquults
C_O_SOIL_TAXONOMY,UAQOC,Ochraquult,typic ochraquults
C_O_SOIL_TAXONOMY,UAQPA,Paleaquult,typic paleaquults
C_O_SOIL_TAXONOMY,UAQPN,Plinthaquult,typic plinthaquults
C_O_SOIL_TAXONOMY,UAQTR,Tropaquult,typic tropaquults
C_O_SOIL_TAXONOMY,UAQUM,Umbraquult,typic umbraquults
C_O_SOIL_TAXONOMY,UHU,Humult,
C_O_SOIL_TAXONOMY,UHUHA,Haplohumult,typic haplohumults
C_O_SOIL_TAXONOMY,UHUKA,Kandihumult,typic kandihumults
C_O_SOIL_TAXONOMY,UHUKH,Kanhaplohumult,typic kanhaplohumults
C_O_SOIL_TAXONOMY,UHUPN,Plinthohumult,typic plinthohumults
C_O_SOIL_TAXONOMY,UHUSO,Sombrihumult,typic sombrihumults
C_O_SOIL_TAXONOMY,UUD,Udult,
C_O_SOIL_TAXONOMY,UUDFR,Fragiudult,typic fragiudults
C_O_SOIL_TAXONOMY,UUDHA,Hapludult,typic hapludults
C_O_SOIL_TAXONOMY,UUDKA,Kandiudult,typic kandiudults
C_O_SOIL_TAXONOMY,UUDKH,Kanhapludult,typic kanhapludults
C_O_SOIL_TAXONOMY,UUDPA,Paleudult,typic paleudults
C_O_SOIL_TAXONOMY,UUDPN,Plinthudult,typic plinthudults
C_O_SOIL_TAXONOMY,UUDRH,Rhodudult,typic rhodudults
C_O_SOIL_TAXONOMY,UUS,Ustult,
C_O_SOIL_TAXONOMY,UUSHA,Haplustult,typic haplustults
C_O_SOIL_TAXONOMY,UUSKA,Kandiustult,typic kandiustults
C_O_SOIL_TAXONOMY,UUSKH,Kanhaplustukt,typic kanhaplustukts
C_O_SOIL_TAXONOMY,UUSPA,Paleustult,typic paleustults
C_O_SOIL_TAXONOMY,UUSPN,Plinthustult,typic plinthustults
C_O_SOIL_TAXONOMY,UUSRH,Rhodustult,typic rhodustults
C_O_SOIL_TAXONOMY,UXE,Xerult,
C_O_SOIL_TAXONOMY,UXEHA,Haploxerult,typic haploxerults
C_O_SOIL_TAXONOMY,UXEPA,Palexerult,typic palexerults
C_O_SOIL_TAXONOMY,V,Vertisol,
C_O_SOIL_TAXONOMY,VTD,Torrert,
C_O_SOIL_TAXONOMY,VTOTO,Torrert,typic torrerts
C_O_SOIL_TAXONOMY,VUD,Udert,
C_O_SOIL_TAXONOMY,VUDCH,Chromudert,typic chromuderts
C_O_SOIL_TAXONOMY,VUDPE,Pelludert,typic pelluderts
C_O_SOIL_TAXONOMY,VUS,Ustert,
C_O_SOIL_TAXONOMY,VUSCH,Chromustert,typic chromusterts / udic chromusterts
C_O_SOIL_TAXONOMY,VUSPE,Pellustert,typic pellusterts
C_O_SOIL_TAXONOMY,VXE,Xerert,
C_O_SOIL_TAXONOMY,VXECH,Chromoxerert,typic chromoxererts
C_O_SOIL_TAXONOMY,VXEPE,Pelloxerert,typic pelloxererts
