tax,Count,CSSC_Class,SSL_classification_name
brunisolic dystric static cryosol,9,Brunisolic Dystric Static Cryosol,Orthels
cumulic humisol organic,9,Cumulic Humisol,Saprists
orthic  sombric  podzol,9,,#N/A
ortstein humic podzol,9,Orthic Humic Podzol,Cryaquods / Humods
solonetzic dark gray chernozem,9,Solonetzic Dark Gray Chernozem,Boralfic Boroll / Albolls
terric mesic organic cryosol,9,Terric Mesic Organic Cryosol,Histels
gleyed brunisolic  gray luvisol luvisol,8,Gleyed Brunisolic Gray Luvisol,Boralfs
gleysolic vertisol vertisol,8,Gleysolic Vertisol,Haplocryerts
fragic humo-ferric podzol,7,Fragic Humo-Ferric Podzol,Cryorthods / Haplorthods
gleyed calcareous dark brown chernozem,7,Gleyed Calcareous Dark Brown Chernozem,Typic Boroll
gleyed sombric  brunisol,7,Gleyed Sombric Brunisol,Humbric Dystrochrepts
orthic   humo-ferric podzol,7,Orthic Humo-Ferric Podzol,Cryorthods / Haplorthods
orthic   sombric  brunisol,7,Orthic Sombric Brunisol,Humbric Dystrochrepts
cumulic mesisol organic,6,Cumulic Mesisol,Hemists
dark solonetz solonetz,6,Dark Brown Solonetz,Natraqualf / Natrustoll
eluviated  eutric  brunisol,6,Eluviated Eutric Brunisol,Cryochrepts / Eutrochrepts
limnic fibrisol organic,5,Limnic Fibrisol,Fibrists
gleyed dark brown chernozem,4,Gleyed Dark Brown Chernozem,Typic Boroll
orthic  humo-ferric regosol,4,Orthic Humo-Ferric Podzol,Cryorthods / Haplorthods
rego static cryosol,3,,#N/A
orthic  humic regosol regosol,2,Orthic Humic Regosol,Orthents / Humods
