"","WRB","count"
"Gleyic,Protothionic,Endogleyi Fluvisol Thionic,Eutric,Siltic,Eutric","Gleyic,Protothionic,Endogleyi Fluvisol Thionic,Eutric,Siltic,Eutric",1
"Gleyic,Salic Fluvisol","Gleyic,Salic Fluvisol",1
"Gleyic,Stagni Luvisol Albic,Cutanic","Gleyic,Stagni Luvisol Albic,Cutanic",1
"Gleyic,Thionic Fluvisol","Gleyic,Thionic Fluvisol",1
"Gleyic,Umbric Fluvisol","Gleyic,Umbric Fluvisol",1
"Gleyic,Umbric Regosol","Gleyic,Umbric Regosol",1
"Gleyic,Vertic Fluvisol","Gleyic,Vertic Fluvisol",1
"Gleysol","Gleysol",990
"Gleysol Endocalcic,Eutric","Gleysol Endocalcic,Eutric",1
"Gleysol Epiarenic,Endoabruptic","Gleysol Epiarenic,Endoabruptic",1
"Glossic Phaeozem","Glossic Phaeozem",3
"Greyic Phaeozem","Greyic Phaeozem",1
"Greyic,Luvic,Luvic,Albi Phaeozem Albic,Siltic,Greyic,Siltic","Greyic,Luvic,Luvic,Albi Phaeozem Albic,Siltic,Greyic,Siltic",1
"Grumic Vertisol Calcaric,Pellic","Grumic Vertisol Calcaric,Pellic",1
"Grumic Vertisol Eutric","Grumic Vertisol Eutric",1
"Grumic Vertisol Hiposodic","Grumic Vertisol Hiposodic",1
"Grumic,calcic horizon,Calcic,Grumi Vertisol","Grumic,calcic horizon,Calcic,Grumi Vertisol",1
"Grumic,calcic horizon,Pelli,Calcic Vertisol Pellic","Grumic,calcic horizon,Pelli,Calcic Vertisol Pellic",1
"Grumic,Calcic Vertisol","Grumic,Calcic Vertisol",3
"Grumic,Chromi Vertisol Hyposodic","Grumic,Chromi Vertisol Hyposodic",1
"Grumic,Endosodic,Cp Vertisol Pellic","Grumic,Endosodic,Cp Vertisol Pellic",1
"Grumic,Grumic,Eutri Vertisol Eutric","Grumic,Grumic,Eutri Vertisol Eutric",1
"Grumic,Grumic,Hypereutri Vertisol Calcaric","Grumic,Grumic,Hypereutri Vertisol Calcaric",1
"Grumic,Hypocalcic,Pelli,Sodic,Hypocalcic Vertisol Pellic,Grumic,Hyposodic","Grumic,Hypocalcic,Pelli,Sodic,Hypocalcic Vertisol Pellic,Grumic,Hyposodic",1
"Grumic,Mollic Vertisol Eutric,Pellic","Grumic,Mollic Vertisol Eutric,Pellic",1
"Grumic,Pellic Vertisol","Grumic,Pellic Vertisol",2
"Grumic,Pellic,Grumi Vertisol Calcaric,Humic,Hypereutric,Pellic","Grumic,Pellic,Grumi Vertisol Calcaric,Humic,Hypereutric,Pellic",1
"Grumic,Pellic,Grumi Vertisol Hypereutric,Pellic,Hypereutric","Grumic,Pellic,Grumi Vertisol Hypereutric,Pellic,Hypereutric",1
"Grumic,Sodic Vertisol Calcaric","Grumic,Sodic Vertisol Calcaric",1
"Gypsic,Duric Vertisol Calcaric,Chromic","Gypsic,Duric Vertisol Calcaric,Chromic",1
"Gypsisol","Gypsisol",265
"Haplic Acrisol","Haplic Acrisol",17
"Haplic Acrisol Abruptic,Clayic,Rhodic","Haplic Acrisol Abruptic,Clayic,Rhodic",1
"Haplic Acrisol Alumic,Chromic","Haplic Acrisol Alumic,Chromic",1
"Haplic Acrisol Arenic","Haplic Acrisol Arenic",1
"Haplic Acrisol Clayic,Chromic","Haplic Acrisol Clayic,Chromic",1
"Haplic Acrisol Humic,Clayic","Haplic Acrisol Humic,Clayic",1
"Haplic Acrisol Profondic,Clayic","Haplic Acrisol Profondic,Clayic",1
"Haplic Alisol","Haplic Alisol",16
"Haplic Andosol","Haplic Andosol",3
"Haplic Arenosol","Haplic Arenosol",5
"Haplic Arenosol Calcaric,Aridic","Haplic Arenosol Calcaric,Aridic",1
"Haplic Arenosol Eutric","Haplic Arenosol Eutric",1
"Haplic Calcisol","Haplic Calcisol",18
"Haplic Calcisol Clayic,Aridic","Haplic Calcisol Clayic,Aridic",1
"Haplic Calcisol Episkeletic,Clayic","Haplic Calcisol Episkeletic,Clayic",1
"Haplic Cambisol","Haplic Cambisol",3
"Haplic Cambisol Alumic,Skeletic,Siltic","Haplic Cambisol Alumic,Skeletic,Siltic",1
"Haplic Cambisol Dystric,Rhodic","Haplic Cambisol Dystric,Rhodic",1
"Haplic Cambisol Epieutric","Haplic Cambisol Epieutric",1
"Haplic Cambisol Epieutric,Clayic","Haplic Cambisol Epieutric,Clayic",1
"Haplic Cambisol Eutric,Chromic","Haplic Cambisol Eutric,Chromic",1
"Haplic Cambisol Eutric,Skeletic,Clayic","Haplic Cambisol Eutric,Skeletic,Clayic",1
"Haplic Cambisol Humic,Dystric,Rhodic","Haplic Cambisol Humic,Dystric,Rhodic",1
"Haplic Cambisol Humic,Eutric,Clayic,Rhodic","Haplic Cambisol Humic,Eutric,Clayic,Rhodic",1
"Haplic Ferralsol","Haplic Ferralsol",16
"Haplic Ferralsol Alumic","Haplic Ferralsol Alumic",1
"Haplic Ferralsol Alumic,Clayic,Rhodic","Haplic Ferralsol Alumic,Clayic,Rhodic",1
"Haplic Ferralsol Alumic,Dystric,Clayic,Xanthic","Haplic Ferralsol Alumic,Dystric,Clayic,Xanthic",1
"Haplic Ferralsol Alumic,Gleyic,Rhodic","Haplic Ferralsol Alumic,Gleyic,Rhodic",1
"Haplic Ferralsol Alumic,Ruptic,Clayic","Haplic Ferralsol Alumic,Ruptic,Clayic",1
"Haplic Ferralsol Alumic,Xanthic","Haplic Ferralsol Alumic,Xanthic",3
"Haplic Ferralsol Dystric","Haplic Ferralsol Dystric",3
"Haplic Ferralsol Dystric,Arenic","Haplic Ferralsol Dystric,Arenic",1
"Haplic Ferralsol Dystric,Clayic,Rhodic","Haplic Ferralsol Dystric,Clayic,Rhodic",1
"Haplic Ferralsol Dystric,Rhodic","Haplic Ferralsol Dystric,Rhodic",3
"Haplic Ferralsol Dystric,Xanthic","Haplic Ferralsol Dystric,Xanthic",8
"Haplic Ferralsol Eutric,Clayic","Haplic Ferralsol Eutric,Clayic",1
"Haplic Ferralsol Eutric,Clayic,Rhodic","Haplic Ferralsol Eutric,Clayic,Rhodic",2
"Haplic Ferralsol Eutric,Rhodic","Haplic Ferralsol Eutric,Rhodic",1
"Haplic Ferralsol Humic,Alumic,Clayic,Rhodic","Haplic Ferralsol Humic,Alumic,Clayic,Rhodic",1
"Haplic Ferralsol Sombric,Humic,Alumic,Clayic","Haplic Ferralsol Sombric,Humic,Alumic,Clayic",1
"Haplic Fluvisol","Haplic Fluvisol",2
"Haplic Fluvisol Aridic,Arenic","Haplic Fluvisol Aridic,Arenic",1
"Haplic Fluvisol Calcaric,Arenic","Haplic Fluvisol Calcaric,Arenic",1
"Haplic Fluvisol Calcaric,Aridic","Haplic Fluvisol Calcaric,Aridic",1
"Haplic Fluvisol Calcaric,Aridic,Arenic","Haplic Fluvisol Calcaric,Aridic,Arenic",1
"Haplic Fluvisol Calcaric,Skeletic","Haplic Fluvisol Calcaric,Skeletic",2
"Haplic Gleysol","Haplic Gleysol",3
"Haplic Gleysol Epidystric,Arenic","Haplic Gleysol Epidystric,Arenic",1
"Haplic Gleysol Eutric,Siltic","Haplic Gleysol Eutric,Siltic",1
"Haplic Gleysol Hyperdystric,Clayic","Haplic Gleysol Hyperdystric,Clayic",1
"Haplic Gypsisol","Haplic Gypsisol",1
"Haplic Kastanozem","Haplic Kastanozem",2
"Haplic Leptosol","Haplic Leptosol",2
"Haplic Lixisol","Haplic Lixisol",35
"Haplic Lixisol Abruptic,Hypereutric","Haplic Lixisol Abruptic,Hypereutric",1
"Haplic Lixisol Albic,Epidystric,Profondic,Arenic","Haplic Lixisol Albic,Epidystric,Profondic,Arenic",1
"Haplic Luvisol","Haplic Luvisol",45
"Haplic Luvisol Humic,Clayic,Rhodic","Haplic Luvisol Humic,Clayic,Rhodic",1
"Haplic Luvisol Humic,Skeletic,Clayic,Chromic","Haplic Luvisol Humic,Skeletic,Clayic,Chromic",1
"Haplic Luvisol Ruptic,Clayic,Novic","Haplic Luvisol Ruptic,Clayic,Novic",1
"Haplic Luvisol Skeletic","Haplic Luvisol Skeletic",1
"Haplic Nitisol","Haplic Nitisol",6
"Haplic Phaeozem","Haplic Phaeozem",26
"Haplic Phaeozem Pachic,Clayic","Haplic Phaeozem Pachic,Clayic",1
"Haplic Podzol","Haplic Podzol",11
"Haplic Regosol","Haplic Regosol",2
"Haplic Regosol Calcaric,Aridic","Haplic Regosol Calcaric,Aridic",1
"Haplic Regosol Dystric,Arenic","Haplic Regosol Dystric,Arenic",2
"Haplic Solonchak Sodic,Sulphatic","Haplic Solonchak Sodic,Sulphatic",1
"Haplic Solonetz","Haplic Solonetz",3
"Haplic Stagnosol Eutric","Haplic Stagnosol Eutric",1
"Haplic Umbrisol","Haplic Umbrisol",3
"Haplic Umbrisol Humic,Hyperdystric,Pachic","Haplic Umbrisol Humic,Hyperdystric,Pachic",1
"Haplic Vertisol","Haplic Vertisol",7
"Haplic Vertisol Calcaric","Haplic Vertisol Calcaric",1
"Haplic Vertisol Calcaric,Chromic","Haplic Vertisol Calcaric,Chromic",5
"Haplic Vertisol Calcaric,Eutric","Haplic Vertisol Calcaric,Eutric",5
"Haplic Vertisol Calcaric,Eutric,Chromic","Haplic Vertisol Calcaric,Eutric,Chromic",1
"Haplic,Abruptic,Ferri Lixisol Manganiferric,Abruptic,Clayic,Chromic,Chromic","Haplic,Abruptic,Ferri Lixisol Manganiferric,Abruptic,Clayic,Chromic,Chromic",1
"Haplic,Albic Podzol","Haplic,Albic Podzol",1
"Haplic,Alumic Ferralsol Alumic,Clayic","Haplic,Alumic Ferralsol Alumic,Clayic",1
"Haplic,Anthric Podzol Anthric","Haplic,Anthric Podzol Anthric",1
"Haplic,Arenic,Dystri Fluvisol Dystric,Arenic","Haplic,Arenic,Dystri Fluvisol Dystric,Arenic",1
"Haplic,Arenic,Hypereutri Regosol Hypereutric,Arenic","Haplic,Arenic,Hypereutri Regosol Hypereutric,Arenic",1
"Haplic,Arenic,Hyposodi Regosol Sodic,Skeletic,Skeletic,Arenic","Haplic,Arenic,Hyposodi Regosol Sodic,Skeletic,Skeletic,Arenic",1
"Haplic,Aridic,Sodi Cambisol Calcaric,Sodic,Siltic,Gypsiric,Calcaric","Haplic,Aridic,Sodi Cambisol Calcaric,Sodic,Siltic,Gypsiric,Calcaric",1
"Haplic,Calcaric Cambisol Calcaric","Haplic,Calcaric Cambisol Calcaric",1
"Haplic,Calcaric Cambisol Calcaric,Clayic","Haplic,Calcaric Cambisol Calcaric,Clayic",1
"Haplic,Calcaric Fluvisol Calcaric","Haplic,Calcaric Fluvisol Calcaric",1
"Haplic,Calcaric Vertisol","Haplic,Calcaric Vertisol",1
"Haplic,Chromic Luvisol Hypereutric,Clayic,Chromic","Haplic,Chromic Luvisol Hypereutric,Clayic,Chromic",1
"Haplic,Chromic,Dystri Cambisol Alumic,Humic,Chromic","Haplic,Chromic,Dystri Cambisol Alumic,Humic,Chromic",1
"Haplic,Chromic,Hypereutri Cambisol Hypereutric,Chromic","Haplic,Chromic,Hypereutri Cambisol Hypereutric,Chromic",1
"Haplic,Dystric Cambisol","Haplic,Dystric Cambisol",1
"Haplic,Endosodic,Aridi Calcisol Sodic,Aridic","Haplic,Endosodic,Aridi Calcisol Sodic,Aridic",1
"Haplic,Eutric Arenosol Eutric","Haplic,Eutric Arenosol Eutric",1
"Haplic,Eutric Cambisol","Haplic,Eutric Cambisol",1
"Haplic,Eutric Gleysol Eutric","Haplic,Eutric Gleysol Eutric",1
"Haplic,Ferric,Alumi Acrisol Ferric,Alumic,Clayic,Chromic","Haplic,Ferric,Alumi Acrisol Ferric,Alumic,Clayic,Chromic",1
"Haplic,Haplic Calcisol Endoskeletic","Haplic,Haplic Calcisol Endoskeletic",1
"Haplic,Haplic Calcisol Ruptic,Siltic,Clayic","Haplic,Haplic Calcisol Ruptic,Siltic,Clayic",1
"Haplic,Haplic Solonetz Abruptic","Haplic,Haplic Solonetz Abruptic",1
"Haplic,Humic Acrisol","Haplic,Humic Acrisol",1
"Haplic,Humic,Alumi Acrisol Alumic,Humic,Clayic","Haplic,Humic,Alumi Acrisol Alumic,Humic,Clayic",1
"Haplic,Humic,Hyposodi Regosol Calcaric,Tephric,Humic,Calcaric,Tephric","Haplic,Humic,Hyposodi Regosol Calcaric,Tephric,Humic,Calcaric,Tephric",1
"Haplic,Hyperdystric Cambisol Alumic,Humic,Clayic","Haplic,Hyperdystric Cambisol Alumic,Humic,Clayic",1
"Haplic,Hyperdystric Ferralsol","Haplic,Hyperdystric Ferralsol",1
"Haplic,Hyperdystric,Xanthi Ferralsol Hyperdystric,Clayic,Xanthic","Haplic,Hyperdystric,Xanthi Ferralsol Hyperdystric,Clayic,Xanthic",1
"Haplic,Hypereutric Cambisol Hypereutric,Siltic","Haplic,Hypereutric Cambisol Hypereutric,Siltic",1
"Haplic,Hypereutric,Hapli Gleysol Hypereutric,Clayic","Haplic,Hypereutric,Hapli Gleysol Hypereutric,Clayic",1
"Haplic,Hypereutric,Rhodi Ferralsol Hypereutric,Clayic,Rhodic","Haplic,Hypereutric,Rhodi Ferralsol Hypereutric,Clayic,Rhodic",1
"Haplic,Hyposodic Cambisol Hyposodic,Clayic","Haplic,Hyposodic Cambisol Hyposodic,Clayic",1
"Haplic,Hyposodic Gleysol Hyposodic,Clayic","Haplic,Hyposodic Gleysol Hyposodic,Clayic",1
"Haplic,Hyposodic Luvisol","Haplic,Hyposodic Luvisol",1
"Haplic,Hyposodic,Densic,Eutric Fluvisol","Haplic,Hyposodic,Densic,Eutric Fluvisol",1
"Haplic,Leptic Regosol Dystric","Haplic,Leptic Regosol Dystric",1
"Haplic,Lixic,Geri Ferralsol Eutric,Clayic,Rhodic,Rhodic","Haplic,Lixic,Geri Ferralsol Eutric,Clayic,Rhodic,Rhodic",1
"Haplic,Magnesic,Albi Solonetz Albic,Magnesic","Haplic,Magnesic,Albi Solonetz Albic,Magnesic",1
"Haplic,Nitic Luvisol Humic,Chromic","Haplic,Nitic Luvisol Humic,Chromic",1
"Haplic,Nudiyermic,Hyposali Regosol Calcaric,Hyposalic,Gypsiric,Sodic,Calcaric","Haplic,Nudiyermic,Hyposali Regosol Calcaric,Hyposalic,Gypsiric,Sodic,Calcaric",1
"Haplic,Pachic Andosol","Haplic,Pachic Andosol",1
"Haplic,Pachic,Silti Phaeozem Pachic,Siltic","Haplic,Pachic,Silti Phaeozem Pachic,Siltic",1
"Haplic,Profondic,Alumi Acrisol Alumic,Hyperdystric,Hyperdystric,Profondic,Chromic,Clayic","Haplic,Profondic,Alumi Acrisol Alumic,Hyperdystric,Hyperdystric,Profondic,Chromic,Clayic",1
"Haplic,Profondic,Alumi Acrisol Alumic,Profondic,Chromic,Clayic","Haplic,Profondic,Alumi Acrisol Alumic,Profondic,Chromic,Clayic",1
"Haplic,Profondic,Chromi Luvisol Profondic,Chromic","Haplic,Profondic,Chromi Luvisol Profondic,Chromic",1
"Haplic,Profondic,Rhodi Acrisol Profondic,Clayic,Rhodic","Haplic,Profondic,Rhodi Acrisol Profondic,Clayic,Rhodic",1
"Haplic,Rhodic Ferralsol","Haplic,Rhodic Ferralsol",1
"Haplic,Rhodic Ferralsol Eutric,Clayic,Rhodic","Haplic,Rhodic Ferralsol Eutric,Clayic,Rhodic",1
"Haplic,Rhodic Lixisol Hypereutric,Clayic,Rhodic","Haplic,Rhodic Lixisol Hypereutric,Clayic,Rhodic",1
"Haplic,Rhodic Lixisol Rhodic","Haplic,Rhodic Lixisol Rhodic",1
"Haplic,Rhodic Luvisol","Haplic,Rhodic Luvisol",1
"Haplic,Skeletic,Rhodi Luvisol Hypereutric,Skeletic,Clayic","Haplic,Skeletic,Rhodi Luvisol Hypereutric,Skeletic,Clayic",1
"Haplic,Stagnic Solonetz","Haplic,Stagnic Solonetz",1
"Haplic,Tephric,Calcari Phaeozem Calcaric,Tephric","Haplic,Tephric,Calcari Phaeozem Calcaric,Tephric",1
"Haplic,Umbric Acrisol Abruptic,Alumic","Haplic,Umbric Acrisol Abruptic,Alumic",1
"Haplic,Umbric Acrisol Alumic,Humic","Haplic,Umbric Acrisol Alumic,Humic",1
"Haplic,Umbric Ferralsol","Haplic,Umbric Ferralsol",1
"Hemic,Sapric Histosol Dystric","Hemic,Sapric Histosol Dystric",1
"Hipercalcic Calcisol","Hipercalcic Calcisol",10
"Hipercalcic Calcisol Endoesqueletic","Hipercalcic Calcisol Endoesqueletic",1
"Hipercalcic Calcisol Endoleptic","Hipercalcic Calcisol Endoleptic",5
"Hipercalcic Calcisol Endosodic","Hipercalcic Calcisol Endosodic",2
"Hipercalcic Calcisol Epileptic","Hipercalcic Calcisol Epileptic",8
"Hipercalcic Calcisol Esqueletic","Hipercalcic Calcisol Esqueletic",2
"Hipercalcic Calcisol Hipersodic","Hipercalcic Calcisol Hipersodic",2
"Hipercalcic Calcisol Hiposodic","Hipercalcic Calcisol Hiposodic",1
"Hipercalcic Calcisol Humic","Hipercalcic Calcisol Humic",3
"Hipercalcic Calcisol Luvic","Hipercalcic Calcisol Luvic",15
"Hipercalcic Calcisol Sodic","Hipercalcic Calcisol Sodic",2
"Hipercalcic Calcisol Vertic","Hipercalcic Calcisol Vertic",1
"Hipercalcic Chernozem Humic","Hipercalcic Chernozem Humic",3
"Hipercalcic Chernozem Luvic","Hipercalcic Chernozem Luvic",3
"Hipercalcic Chernozem Paquic","Hipercalcic Chernozem Paquic",1
"Hipercalcic Kastanozem","Hipercalcic Kastanozem",1
"Hipercalcic Kastanozem Alcalic","Hipercalcic Kastanozem Alcalic",1
"Hipercalcic Kastanozem Humic","Hipercalcic Kastanozem Humic",1
"Hipercalcic Kastanozem Luvic","Hipercalcic Kastanozem Luvic",1
"Hipercalcic Vertisol Cromic","Hipercalcic Vertisol Cromic",1
"Hiperdistric Acrisol","Hiperdistric Acrisol",1
"Hiperdistric Acrisol Rodic","Hiperdistric Acrisol Rodic",1
"Hiperdistric Andosol Humic","Hiperdistric Andosol Humic",1
"Hiperdistric Andosol Umbric","Hiperdistric Andosol Umbric",1
"Hiperdistric Andosol Umbrihumic","Hiperdistric Andosol Umbrihumic",1
"Hiperdistric Cambisol Cromic","Hiperdistric Cambisol Cromic",3
"Hiperdistric Luvisol Cromic","Hiperdistric Luvisol Cromic",3
"Hiperdistric Luvisol Rodic","Hiperdistric Luvisol Rodic",1
"Hiperdistric Regosol","Hiperdistric Regosol",1
"Hiperdistric Umbrisol","Hiperdistric Umbrisol",1
"Hiperdistric Umbrisol Esqueletic","Hiperdistric Umbrisol Esqueletic",1
"Hiperesqueletic Leptosol","Hiperesqueletic Leptosol",1
"Hiperesqueletic Leptosol Aridic","Hiperesqueletic Leptosol Aridic",3
"Hiperesqueletic Leptosol Calcaric","Hiperesqueletic Leptosol Calcaric",6
"Hiperesqueletic Leptosol Distric","Hiperesqueletic Leptosol Distric",1
"Hiperesqueletic Leptosol Eutric","Hiperesqueletic Leptosol Eutric",16
"Hiperesqueletic Leptosol Hipersodic","Hiperesqueletic Leptosol Hipersodic",1
"Hiperesqueletic Leptosol Humic","Hiperesqueletic Leptosol Humic",10
"Hiperesqueletic Leptosol Molic","Hiperesqueletic Leptosol Molic",2
"Hiperesqueletic Leptosol Rendzic","Hiperesqueletic Leptosol Rendzic",6
"Hiperesqueletic Leptosol Sodic","Hiperesqueletic Leptosol Sodic",2
"Hiperesqueletic Luvisol Hiperdistric","Hiperesqueletic Luvisol Hiperdistric",2
"Hipereutric Arenosol","Hipereutric Arenosol",1
"Hipereutric Leptosol","Hipereutric Leptosol",1
"Hipereutric Regosol","Hipereutric Regosol",2
"Hiperferralic Arenosol Rubic","Hiperferralic Arenosol Rubic",1
"Hiperferric Luvisol Distric","Hiperferric Luvisol Distric",1
"Hipergipsic Gypsisol Hipersodic","Hipergipsic Gypsisol Hipersodic",1
"Hiperocric Cambisol Hiposodic","Hiperocric Cambisol Hiposodic",1
"Hiperocric Luvisol Hiposodic","Hiperocric Luvisol Hiposodic",1
"Hipersalic Planosol Sodic","Hipersalic Planosol Sodic",1
"Hipersodic Arenosol Aridic","Hipersodic Arenosol Aridic",1
"Hipersodic Arenosol Calcaric","Hipersodic Arenosol Calcaric",8
"Hipersodic Arenosol Endogleyic","Hipersodic Arenosol Endogleyic",1
"Hipersodic Arenosol Gipsiric","Hipersodic Arenosol Gipsiric",1
"Hipersodic Calcisol Aridic","Hipersodic Calcisol Aridic",6
"Hipersodic Calcisol Endosalic","Hipersodic Calcisol Endosalic",1
"Hipersodic Calcisol Hiposalic","Hipersodic Calcisol Hiposalic",3
"Hipersodic Calcisol Luvic","Hipersodic Calcisol Luvic",5
"Hipersodic Calcisol Vertic","Hipersodic Calcisol Vertic",2
"Hipersodic Cambisol","Hipersodic Cambisol",2
"Hipersodic Cambisol Arenic","Hipersodic Cambisol Arenic",1
"Hipersodic Cambisol Aridic","Hipersodic Cambisol Aridic",2
"Hipersodic Cambisol Calcaric","Hipersodic Cambisol Calcaric",9
"Hipersodic Cambisol Vertic","Hipersodic Cambisol Vertic",1
"Hipersodic Chernozem Calcic","Hipersodic Chernozem Calcic",2
"Hipersodic Fluvisol Arenic","Hipersodic Fluvisol Arenic",2
"Hipersodic Fluvisol Calcaric","Hipersodic Fluvisol Calcaric",1
"Hipersodic Fluvisol Gleyic","Hipersodic Fluvisol Gleyic",2
"Hipersodic Gleysol Arenic","Hipersodic Gleysol Arenic",1
"Hipersodic Gleysol Calcaric","Hipersodic Gleysol Calcaric",2
"Hipersodic Gleysol Calcic","Hipersodic Gleysol Calcic",2
"Hipersodic Gleysol Hiposalic","Hipersodic Gleysol Hiposalic",2
"Hipersodic Gleysol Humic","Hipersodic Gleysol Humic",4
"Hipersodic Histosol Fibric","Hipersodic Histosol Fibric",1
"Hipersodic Histosol Sapric","Hipersodic Histosol Sapric",1
"Hipersodic Kastanozem Hipocalcic","Hipersodic Kastanozem Hipocalcic",1
"Hipersodic Leptosol Calcaric","Hipersodic Leptosol Calcaric",1
"Hipersodic Leptosol Gleyic","Hipersodic Leptosol Gleyic",1
"Hipersodic Leptosol Humic","Hipersodic Leptosol Humic",1
"Hipersodic Luvisol Abruptic","Hipersodic Luvisol Abruptic",3
"Hipersodic Luvisol Aridic","Hipersodic Luvisol Aridic",1
"Hipersodic Luvisol Cromic","Hipersodic Luvisol Cromic",1
"Hipersodic Luvisol Epiesqueletic","Hipersodic Luvisol Epiesqueletic",1
"Hipersodic Luvisol Humic","Hipersodic Luvisol Humic",1
"Hipersodic Phaeozem Luvic","Hipersodic Phaeozem Luvic",1
"Hipersodic Phaeozem Vertic","Hipersodic Phaeozem Vertic",2
"Hipersodic Regosol","Hipersodic Regosol",1
"Hipersodic Regosol Abruptic","Hipersodic Regosol Abruptic",1
"Hipersodic Regosol Arenic","Hipersodic Regosol Arenic",6
"Hipersodic Regosol Aridic","Hipersodic Regosol Aridic",1
"Hipersodic Regosol Calcaric","Hipersodic Regosol Calcaric",1
"Hipersodic Solonchak","Hipersodic Solonchak",3
"Hipersodic Solonchak Albic","Hipersodic Solonchak Albic",1
"Hipersodic Solonchak Arenic","Hipersodic Solonchak Arenic",3
"Hipersodic Solonchak Aridic","Hipersodic Solonchak Aridic",2
"Hipersodic Solonchak Calcaric","Hipersodic Solonchak Calcaric",1
"Hipersodic Solonchak Calcic","Hipersodic Solonchak Calcic",3
"Hipersodic Solonchak Carbonatic","Hipersodic Solonchak Carbonatic",1
"Hipersodic Solonchak Endogleyic","Hipersodic Solonchak Endogleyic",4
"Hipersodic Solonchak Endopetrogipsic","Hipersodic Solonchak Endopetrogipsic",2
"Hipersodic Solonchak Gipsiric","Hipersodic Solonchak Gipsiric",2
"Hipersodic Solonchak Gleyic","Hipersodic Solonchak Gleyic",11
"Hipersodic Solonchak Hipersalic","Hipersodic Solonchak Hipersalic",13
"Hipersodic Solonchak Hipogleyic","Hipersodic Solonchak Hipogleyic",1
"Hipersodic Solonchak Humic","Hipersodic Solonchak Humic",1
"Hipersodic Solonchak Luvic","Hipersodic Solonchak Luvic",1
"Hipersodic Solonchak Molic","Hipersodic Solonchak Molic",1
"Hipersodic Solonchak Stagnic","Hipersodic Solonchak Stagnic",1
"Hipersodic Solonchak Vertic","Hipersodic Solonchak Vertic",5
"Hipersodic Solonetz Alcalic","Hipersodic Solonetz Alcalic",1
"Hipersodic Solonetz Aridic","Hipersodic Solonetz Aridic",1
"Hipersodic Solonetz Calcic","Hipersodic Solonetz Calcic",1
"Hipersodic Solonetz Gleyic","Hipersodic Solonetz Gleyic",1
"Hipersodic Solonetz Hiposalic","Hipersodic Solonetz Hiposalic",1
"Hipersodic Solonetz Vertic","Hipersodic Solonetz Vertic",1
"Hipersodic Vertisol","Hipersodic Vertisol",1
"Hipersodic Vertisol Calcaric","Hipersodic Vertisol Calcaric",4
"Hipersodic Vertisol Calcic","Hipersodic Vertisol Calcic",4
"Hipersodic Vertisol Endogleyic","Hipersodic Vertisol Endogleyic",1
"Hipersodic Vertisol Hipocalcic","Hipersodic Vertisol Hipocalcic",1
"Hipersodic Vertisol Mazic","Hipersodic Vertisol Mazic",1
"Hipersodic Vertisol Mesotrofic","Hipersodic Vertisol Mesotrofic",1
"Hipocalcic Calcisol Aridic","Hipocalcic Calcisol Aridic",1
"Hipocalcic Chernozem Luvic","Hipocalcic Chernozem Luvic",1
"Hipocalcic Luvisol","Hipocalcic Luvisol",2
"Hipocalcic Luvisol Aridic","Hipocalcic Luvisol Aridic",3
"Hipocalcic Luvisol Cromic","Hipocalcic Luvisol Cromic",1
"Hipocalcic Vertisol Cromic","Hipocalcic Vertisol Cromic",2
"Hipocalcic Vertisol Pelic","Hipocalcic Vertisol Pelic",1
"Hipogleyic Regosol Arenic","Hipogleyic Regosol Arenic",1
"Hipoluvic Arenosol Aridic","Hipoluvic Arenosol Aridic",1
"Hipoluvic Arenosol Calcaric","Hipoluvic Arenosol Calcaric",2
"Hipoluvic Arenosol Eutric","Hipoluvic Arenosol Eutric",1
"Hipoluvic Arenosol Protic","Hipoluvic Arenosol Protic",1
"Hipoluvic Arenosol Rubic","Hipoluvic Arenosol Rubic",1
"Hiposalic Calcisol Esqueletic","Hiposalic Calcisol Esqueletic",1
"Hiposalic Calcisol Hiposodic","Hiposalic Calcisol Hiposodic",1
"Hiposalic Cambisol Cromic","Hiposalic Cambisol Cromic",1
"Hiposalic Cambisol Hiposodic","Hiposalic Cambisol Hiposodic",1
"Hiposalic Luvisol Aridic","Hiposalic Luvisol Aridic",1
"Hiposalic Luvisol Calcaric","Hiposalic Luvisol Calcaric",1
"Hiposalic Luvisol Hiposodic","Hiposalic Luvisol Hiposodic",3
"Hiposalic Phaeozem Paquic","Hiposalic Phaeozem Paquic",1
"Hiposalic Solonetz Alcalic","Hiposalic Solonetz Alcalic",1
"Hiposalic Solonetz Endopetrosalic","Hiposalic Solonetz Endopetrosalic",1
"Hiposalic Vertisol Gleyic","Hiposalic Vertisol Gleyic",1
"Hiposalic Vertisol Hipersodic","Hiposalic Vertisol Hipersodic",1
"Hiposalic Vertisol Hiposodic","Hiposalic Vertisol Hiposodic",1
"Hiposalic Vertisol Sodic","Hiposalic Vertisol Sodic",1
"Hiposodic Arenosol","Hiposodic Arenosol",10
"Hiposodic Arenosol Cromic","Hiposodic Arenosol Cromic",1
"Hiposodic Calcisol","Hiposodic Calcisol",6
"Hiposodic Calcisol Aridic","Hiposodic Calcisol Aridic",1
"Hiposodic Calcisol Luvic","Hiposodic Calcisol Luvic",1
"Hiposodic Cambisol","Hiposodic Cambisol",4
"Hiposodic Cambisol Aridic","Hiposodic Cambisol Aridic",1
"Hiposodic Cambisol Calcaric","Hiposodic Cambisol Calcaric",2
