"","WRB","count"
"Arenic,Haplic,Hyposodi Regosol Sodic,Endoskeletic,Endoskeletic,Arenic","Arenic,Haplic,Hyposodi Regosol Sodic,Endoskeletic,Endoskeletic,Arenic",1
"Arenic,Haplic,Profondi Lixisol Profondic,Arenic,Chromic,Chromic","Arenic,Haplic,Profondi Lixisol Profondic,Arenic,Chromic,Chromic",1
"Arenic,Haplic,Tephri Regosol Tephric,Hypereutric,Hypereutric,Arenic","Arenic,Haplic,Tephri Regosol Tephric,Hypereutric,Hypereutric,Arenic",1
"Arenic,Humi Umbrisol","Arenic,Humi Umbrisol",1
"Arenic,Hyposodic Planosol","Arenic,Hyposodic Planosol",1
"Arenic,Leptic Regosol","Arenic,Leptic Regosol",2
"Arenic,Lixic Ferralsol","Arenic,Lixic Ferralsol",1
"Arenic,Luvic Calcisol","Arenic,Luvic Calcisol",1
"Arenic,Paraplinthic Lixisol","Arenic,Paraplinthic Lixisol",1
"Arenic,Plinthic Ferralsol","Arenic,Plinthic Ferralsol",1
"Arenic,Sodic Fluvisol","Arenic,Sodic Fluvisol",1
"Arenic,Umbric Gleysol","Arenic,Umbric Gleysol",1
"Arenic,Vetic,Cutanic,Veti Acrisol Alumic,Profondic,Profondic,Arenic,Alumic","Arenic,Vetic,Cutanic,Veti Acrisol Alumic,Profondic,Profondic,Arenic,Alumic",1
"Arenosol","Arenosol",1229
"Aric,Xanthic Ferralsol","Aric,Xanthic Ferralsol",1
"Aridic Arenosol","Aridic Arenosol",4
"Aridic Arenosol Alcalic","Aridic Arenosol Alcalic",6
"Aridic Arenosol Hiposodic","Aridic Arenosol Hiposodic",9
"Aridic Arenosol Rubic","Aridic Arenosol Rubic",1
"Aridic Arenosol Sodic","Aridic Arenosol Sodic",1
"Aridic Calcisol","Aridic Calcisol",6
"Aridic Calcisol Alcalic","Aridic Calcisol Alcalic",1
"Aridic Calcisol Endoesqueletic","Aridic Calcisol Endoesqueletic",2
"Aridic Calcisol Esqueletic","Aridic Calcisol Esqueletic",5
"Aridic Calcisol Hiposalic","Aridic Calcisol Hiposalic",2
"Aridic Calcisol Hiposodic","Aridic Calcisol Hiposodic",6
"Aridic Calcisol Siltic","Aridic Calcisol Siltic",1
"Aridic Cambisol","Aridic Cambisol",5
"Aridic Cambisol Arenic","Aridic Cambisol Arenic",3
"Aridic Cambisol Cromic","Aridic Cambisol Cromic",2
"Aridic Cambisol Endoesqueletic","Aridic Cambisol Endoesqueletic",1
"Aridic Cambisol Esqueletic","Aridic Cambisol Esqueletic",2
"Aridic Cambisol Hiposodic","Aridic Cambisol Hiposodic",2
"Aridic Fluvisol","Aridic Fluvisol",1
"Aridic Fluvisol Calcaric","Aridic Fluvisol Calcaric",1
"Aridic Fluvisol Eutric","Aridic Fluvisol Eutric",1
"Aridic Fluvisol Hiposodic","Aridic Fluvisol Hiposodic",1
"Aridic Gypsisol Hipersodic","Aridic Gypsisol Hipersodic",1
"Aridic Leptosol Eutric","Aridic Leptosol Eutric",2
"Aridic Luvisol","Aridic Luvisol",7
"Aridic Luvisol Alcalic","Aridic Luvisol Alcalic",1
"Aridic Luvisol Calcaric","Aridic Luvisol Calcaric",2
"Aridic Luvisol Cromic","Aridic Luvisol Cromic",2
"Aridic Luvisol Endoesqueletic","Aridic Luvisol Endoesqueletic",1
"Aridic Luvisol Esqueletic","Aridic Luvisol Esqueletic",4
"Aridic Luvisol Eutric","Aridic Luvisol Eutric",1
"Aridic Luvisol Hiposodic","Aridic Luvisol Hiposodic",4
"Aridic Regosol","Aridic Regosol",1
"Aridic Regosol Alcalic","Aridic Regosol Alcalic",1
"Aridic Regosol Esqueletic","Aridic Regosol Esqueletic",2
"Aridic Regosol Eutric","Aridic Regosol Eutric",1
